timeStamp	dateFrac	cntDev	predDev
2016-05-24 20:00:00	736108.833333	13287	17163
2016-05-24 21:00:00	736108.875	5233	10397
2016-05-24 22:00:00	736108.916667	2005	7549
2016-05-24 23:00:00	736108.958333	3213	6208
2016-05-25 00:00:00	736109.0	4003	6001
2016-05-25 01:00:00	736109.041667	4746	5784
2016-05-25 02:00:00	736109.083333	5095	5398
2016-05-25 03:00:00	736109.125	6634	8589
2016-05-25 04:00:00	736109.166667	12356	13164
2016-05-25 05:00:00	736109.208333	19701	16462
2016-05-25 06:00:00	736109.25	19062	16762
2016-05-25 07:00:00	736109.291667	23314	15777
2016-05-25 08:00:00	736109.333333	22345	19284
2016-05-25 09:00:00	736109.375	45830	25948
2016-05-25 10:00:00	736109.416667	51094	28140
2016-05-25 11:00:00	736109.458333	61843	27154
2016-05-25 12:00:00	736109.5	68368	31756
2016-05-25 13:00:00	736109.541667	76506	40286
2016-05-25 14:00:00	736109.583333	84185	44259
2016-05-25 15:00:00	736109.625	81671	45078
2016-05-25 16:00:00	736109.666667	73989	42982
2016-05-25 17:00:00	736109.708333	56643	38910
2016-05-25 18:00:00	736109.75	34689	29439
2016-05-25 19:00:00	736109.791667	20821	18331
2016-05-25 20:00:00	736109.833333	7224	11190
2016-05-25 21:00:00	736109.875	4840	9154
2016-05-25 22:00:00	736109.916667	1796	5559
2016-05-25 23:00:00	736109.958333	1658	4398
2016-05-26 00:00:00	736110.0	3309	5504
2016-05-26 01:00:00	736110.041667	4675	5761
2016-05-26 02:00:00	736110.083333	5587	5540
2016-05-26 03:00:00	736110.125	4896	7924
2016-05-26 04:00:00	736110.166667	3860	11760
2016-05-26 05:00:00	736110.208333	2544	13232
2016-05-26 06:00:00	736110.25	8987	13783
2016-05-26 07:00:00	736110.291667	32695	15771
2016-05-26 08:00:00	736110.333333	54589	28348
2016-05-26 09:00:00	736110.375	88480	41502
2016-05-26 10:00:00	736110.416667	93378	44658
2016-05-26 11:00:00	736110.458333	103267	45008
2016-05-26 12:00:00	736110.5	95278	47357
2016-05-26 13:00:00	736110.541667	101047	52073
2016-05-26 14:00:00	736110.583333	103911	52972
2016-05-26 15:00:00	736110.625	104133	47407
2016-05-26 16:00:00	736110.666667	98482	43749
2016-05-26 17:00:00	736110.708333	77041	37672
2016-05-26 18:00:00	736110.75	52650	30555
2016-05-26 19:00:00	736110.791667	31201	20379
2016-05-26 20:00:00	736110.833333	17390	12895
2016-05-26 21:00:00	736110.875	9392	10638
2016-05-26 22:00:00	736110.916667	5543	10289
2016-05-26 23:00:00	736110.958333	4631	10824
2016-05-27 00:00:00	736111.0	4780	10752
2016-05-27 01:00:00	736111.041667	4522	8322
2016-05-27 02:00:00	736111.083333	5338	5543
2016-05-27 03:00:00	736111.125	7566	8126
2016-05-27 04:00:00	736111.166667	12123	13855
2016-05-27 05:00:00	736111.208333	22614	18408
2016-05-27 06:00:00	736111.25	22431	26156
2016-05-27 07:00:00	736111.291667	20079	34857
2016-05-27 08:00:00	736111.333333	7393	47751
2016-05-27 09:00:00	736111.375	16483	57530
2016-05-27 10:00:00	736111.416667	28732	62925
2016-05-27 11:00:00	736111.458333	33212	61971
2016-05-27 12:00:00	736111.5	59258	58060
2016-05-27 13:00:00	736111.541667	63956	50505
2016-05-27 14:00:00	736111.583333	69577	43789
2016-05-27 15:00:00	736111.625	49721	39509
2016-05-27 16:00:00	736111.666667	40648	36591
2016-05-27 17:00:00	736111.708333	25428	27335
2016-05-27 18:00:00	736111.75	20131	20828
2016-05-27 19:00:00	736111.791667	12141	15699
2016-05-27 20:00:00	736111.833333	9990	11515
2016-05-27 21:00:00	736111.875	7478	8210
2016-05-27 22:00:00	736111.916667	3439	6092
2016-05-27 23:00:00	736111.958333	4418	5867
2016-05-28 00:00:00	736112.0	5194	6226
2016-05-28 01:00:00	736112.041667	5107	6061
2016-05-28 02:00:00	736112.083333	5615	5692
2016-05-28 03:00:00	736112.125	9503	9479
2016-05-28 04:00:00	736112.166667	14899	15510
2016-05-28 05:00:00	736112.208333	21491	18738
2016-05-28 06:00:00	736112.25	19968	20932
2016-05-28 07:00:00	736112.291667	16654	20666
2016-05-28 08:00:00	736112.333333	22367	21989
2016-05-28 09:00:00	736112.375	37109	25645
2016-05-28 10:00:00	736112.416667	45610	27186
2016-05-28 11:00:00	736112.458333	44837	32830
2016-05-28 12:00:00	736112.5	42587	36951
2016-05-28 13:00:00	736112.541667	39725	36609
2016-05-28 14:00:00	736112.583333	40763	33904
2016-05-28 15:00:00	736112.625	39382	30474
2016-05-28 16:00:00	736112.666667	33986	29343
2016-05-28 17:00:00	736112.708333	25894	25212
2016-05-28 18:00:00	736112.75	12492	20897
2016-05-28 19:00:00	736112.791667	8744	17801
2016-05-28 20:00:00	736112.833333	8964	16308
2016-05-28 21:00:00	736112.875	4713	13781
2016-05-28 22:00:00	736112.916667	3767	10678
2016-05-28 23:00:00	736112.958333	3410	6626
2016-05-29 00:00:00	736113.0	3727	5024
2016-05-29 01:00:00	736113.041667	3173	3946
2016-05-29 02:00:00	736113.083333	2201	1741
2016-05-29 03:00:00	736113.125	5057	2881
2016-05-29 04:00:00	736113.166667	11013	6559
2016-05-29 05:00:00	736113.208333	15745	9661
2016-05-29 06:00:00	736113.25	19397	10493
2016-05-29 07:00:00	736113.291667	17078	12556
2016-05-29 08:00:00	736113.333333	20283	12789
2016-05-29 09:00:00	736113.375	21012	14348
2016-05-29 10:00:00	736113.416667	24737	12761
2016-05-29 11:00:00	736113.458333	19090	11277
2016-05-29 12:00:00	736113.5	14028	9225
