timeStamp	dateFrac	isHoliday	isSunday	cnt	predSimple	predTrig	predHourDay	predHourWeek	predHS	cntMA	predMA	devMA	predDev	alertVal	diffMA
2016-05-14 12:00:00	736098.5	0	0	322465	195382	372995	354148	325576	331744	334385	342283	12265	35478	0	0
2016-05-14 13:00:00	736098.541667	0	0	311693	195404	363430	341059	316434	322378	318752	330291	14405	35136	0	0
2016-05-14 14:00:00	736098.583333	0	0	303628	195425	338583	355067	311992	317827	312595	323983	14175	32431	0	0
2016-05-14 15:00:00	736098.625	0	0	285884	195447	300149	348422	299092	304610	300401	314938	18254	29001	0	0
2016-05-14 16:00:00	736098.666667	0	0	237836	195468	250749	300508	254544	258969	275782	293802	22348	27870	0	0
2016-05-14 17:00:00	736098.708333	0	0	199354	195490	193751	237594	196683	199688	241024	254422	19967	23739	0	0
2016-05-14 18:00:00	736098.75	0	0	85971	195512	133040	87286	83411	83636	174387	180764	15036	19424	0	0
2016-05-14 19:00:00	736098.791667	0	0	61843	195533	72756	54596	60440	60101	115722	114475	2073	16328	0	0
2016-05-14 20:00:00	736098.833333	0	0	42533	195555	17008	19369	38442	37563	63449	60433	4073	14835	0	0
2016-05-14 21:00:00	736098.875	0	0	32970	195576	-30402	682	23642	22400	45782	40021	8350	12307	0	0
2016-05-14 22:00:00	736098.916667	0	0	21067	195598	-66244	-16183	13398	11904	32190	23955	10497	9204	0	0
2016-05-14 23:00:00	736098.958333	0	0	14541	195620	-88072	-28501	3656	1923	22859	12075	13321	5153	0	0
2016-05-15 00:00:00	736099.0	0	1	11030	195641	-97719	-141301	1332	14529	15546	9452	11300	3551	0	0
2016-05-15 01:00:00	736099.041667	0	1	6102	195663	-88109	-147175	-5171	8025	10557	8159	9358	2473	0	0
2016-05-15 02:00:00	736099.083333	0	1	5176	195684	-63218	-147649	-6119	7077	7436	9877	3126	268	0	0
2016-05-15 03:00:00	736099.125	0	1	18766	195706	-24740	-141436	-2183	11013	10014	8705	5806	1408	0	0
2016-05-15 04:00:00	736099.166667	0	1	32384	195727	24703	-127215	6621	19818	18775	12636	10526	5085	0	0
2016-05-15 05:00:00	736099.208333	0	1	21796	195749	81746	-95197	17097	30294	24315	20375	12046	8187	0	0
2016-05-15 06:00:00	736099.25	0	1	37469	195771	142501	34543	35500	48697	30549	32936	13345	9020	0	0
2016-05-15 07:00:00	736099.291667	0	1	66273	195792	202829	170738	72957	86154	41846	55048	17226	11083	0	0
2016-05-15 08:00:00	736099.333333	0	1	71020	195814	258621	251280	78912	92109	58254	75653	21978	11316	0	0
2016-05-15 09:00:00	736099.375	0	1	76962	195835	306077	299694	82892	96089	71418	91450	24554	12874	0	0
2016-05-15 10:00:00	736099.416667	0	1	68686	195857	341962	255727	75477	88674	72222	92290	24597	11288	0	0
2016-05-15 11:00:00	736099.458333	0	1	63209	195879	363835	246126	64049	77246	69619	87336	21936	9804	0	0
2016-05-15 12:00:00	736099.5	0	1	63372	195900	370205	248495	64585	77782	65089	81234	20052	7751	0	0
2016-05-15 13:00:00	736099.541667	0	1	62476	195922	360639	235406	68760	81957	63019	78995	19801	7660	0	0
2016-05-15 14:00:00	736099.583333	0	1	64726	195943	335793	249414	70716	83913	63524	81217	21855	10612	0	0
2016-05-15 15:00:00	736099.625	0	1	68675	195965	297359	242769	80913	94110	65292	86660	26406	13244	0	0
2016-05-15 16:00:00	736099.666667	0	1	75967	195987	247958	194855	86556	99753	69789	92592	28114	14729	0	0
2016-05-15 17:00:00	736099.708333	0	1	73698	196008	190960	131941	80324	93521	72780	95794	28334	13930	0	0
2016-05-15 18:00:00	736099.75	0	1	70712	196030	130249	-18366	69888	80885	73459	91386	23045	12641	0	0
2016-05-15 19:00:00	736099.791667	0	1	64545	196051	69965	-51056	65527	76524	69651	83643	17887	10238	0	0
2016-05-15 20:00:00	736099.833333	0	1	44764	196073	14217	-86283	44712	55709	60007	71039	13542	14189	0	0
2016-05-15 21:00:00	736099.875	0	1	33085	196094	-33193	-104970	30346	41344	47464	57859	12874	4935	0	0
2016-05-15 22:00:00	736099.916667	0	1	24798	196116	-69035	-121836	16067	27064	34215	41372	9826	3423	0	0
